date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011-08-02,sh.000986,3820.3300,3874.5800,3773.0800,3873.2600,0.0000,512879300,9213850000.0000,3,0.001735,1,0.000000,1
2011-08-03,sh.000986,3827.1700,3914.5200,3824.0800,3867.0800,3873.2600,558668600,10724790000.0000,3,0.001890,1,-0.159554,1
2011-08-04,sh.000986,3869.0000,3909.9900,3855.9400,3874.2600,3867.0800,367231300,6696760000.0000,3,0.001242,1,0.185668,1
2011-08-05,sh.000986,3750.9100,3819.5300,3734.7500,3778.0500,3874.2600,549846900,9934580000.0000,3,0.001860,1,-2.483312,1
2011-08-08,sh.000986,3725.5400,3749.5600,3539.3500,3586.7700,3778.0500,682366000,11377550000.0000,3,0.002308,1,-5.062930,1
2011-08-09,sh.000986,3473.8500,3593.1300,3407.8500,3566.0100,3586.7700,656054400,10692160000.0000,3,0.002219,1,-0.578794,1
2011-08-10,sh.000986,3635.2000,3668.1700,3594.4800,3599.7800,3566.0100,529652900,8881680000.0000,3,0.001792,1,0.946997,1
2011-08-11,sh.000986,3537.4100,3643.9400,3535.8000,3643.8700,3599.7800,470213300,7719920000.0000,3,0.001591,1,1.224800,1
2011-08-12,sh.000986,3669.0900,3697.1100,3652.3100,3656.0800,3643.8700,525013300,7618240000.0000,3,0.001776,1,0.335082,1
2011-08-15,sh.000986,3672.0000,3692.1500,3629.3100,3691.5500,3656.0800,465599100,6545160000.0000,3,0.001573,1,0.970164,1
2011-08-16,sh.000986,3696.3800,3722.5300,3676.7100,3695.5900,3691.5500,443591800,7499700000.0000,3,0.001499,1,0.109440,1
2011-08-17,sh.000986,3685.4300,3703.6600,3654.4300,3660.6700,3695.5900,336017500,5359440000.0000,3,0.001135,1,-0.944914,1
2011-08-18,sh.000986,3664.1400,3667.4300,3578.9700,3581.1900,3660.6700,340220100,5616630000.0000,3,0.001149,1,-2.171187,1
2011-08-19,sh.000986,3507.7800,3537.0500,3475.0100,3509.9900,3581.1900,402318600,6782750000.0000,3,0.001359,1,-1.988165,1
2011-08-22,sh.000986,3508.2900,3570.9200,3489.6000,3504.2700,3509.9900,356796700,5545900000.0000,3,0.001205,1,-0.162963,1
2011-08-23,sh.000986,3521.9100,3552.3300,3494.7500,3552.3300,3504.2700,296906500,4272380000.0000,3,0.001003,1,1.371471,1
2011-08-24,sh.000986,3576.3900,3586.2200,3532.4300,3537.9600,3552.3300,345879400,5372780000.0000,3,0.001168,1,-0.404527,1
2011-08-25,sh.000986,3548.3500,3671.3100,3534.7900,3668.7300,3552.3300,590387300,9799690000.0000,3,0.001994,1,3.276720,1
2011-08-26,sh.000986,3645.3900,3668.6400,3624.2000,3654.8100,3668.7300,397827000,6404590000.0000,3,0.001344,1,-0.379421,1
2011-08-29,sh.000986,3630.9800,3630.9800,3598.8000,3609.3600,3654.8100,350017400,5440130000.0000,3,0.001182,1,-1.243565,1
2011-08-30,sh.000986,3640.3100,3677.3700,3596.6700,3597.6500,3609.3600,422038400,6510470000.0000,3,0.001425,1,-0.324440,1
2011-08-31,sh.000986,3597.6200,3621.0800,3565.8700,3608.8000,3597.6500,250179200,4124690000.0000,3,0.000845,1,0.309929,0
2011-09-01,sh.000986,3614.0300,3636.3300,3571.2500,3577.9800,3608.8000,254284400,3983710000.0000,3,0.000859,1,-0.854025,1
2011-09-02,sh.000986,3571.6100,3582.7200,3509.6400,3524.8900,3577.9800,230198900,3591110000.0000,3,0.000777,1,-1.483801,1
2011-09-05,sh.000986,3486.4940,3486.4940,3409.8040,3409.8040,3524.8900,275824500,4704210000.0000,3,0.000932,1,-3.264951,1
2011-09-06,sh.000986,3385.9000,3419.8600,3365.9770,3392.0540,3409.8040,242339600,3927580000.0000,3,0.000818,1,-0.520558,1
2011-09-07,sh.000986,3419.0590,3477.4920,3403.5380,3477.4920,3392.0540,264631200,4152670000.0000,3,0.000894,1,2.518769,1
2011-09-08,sh.000986,3495.0160,3515.4240,3454.5200,3455.0660,3477.4920,247273200,3904550000.0000,3,0.000835,1,-0.644891,1
2011-09-09,sh.000986,3467.6050,3509.8220,3439.4460,3454.0850,3455.0660,206807400,3140920000.0000,3,0.000698,1,-0.028392,1
2011-09-13,sh.000986,3410.3750,3429.4280,3382.0220,3419.2450,3454.0850,204842300,3044990000.0000,3,0.000692,1,-1.008656,1
2011-09-14,sh.000986,3439.3130,3451.6100,3373.6760,3450.7710,3419.2450,250708800,3753320000.0000,3,0.000847,1,0.922013,1
2011-09-15,sh.000986,3449.7200,3470.0290,3437.3100,3438.0780,3450.7710,229194100,3322720000.0000,3,0.000774,1,-0.367834,1
2011-09-16,sh.000986,3459.0880,3481.0420,3446.4690,3450.3600,3438.0780,222267900,3217110000.0000,3,0.000751,1,0.357241,1
2011-09-19,sh.000986,3429.1920,3429.1920,3371.4980,3371.4980,3450.3600,274582000,3804710000.0000,3,0.000927,1,-2.285618,1
2011-09-20,sh.000986,3361.3950,3406.5190,3349.5320,3390.2810,3371.4980,261014900,3481930000.0000,3,0.000882,1,0.557110,1
2011-09-21,sh.000986,3391.1370,3546.4050,3372.8580,3535.6280,3390.2810,576330200,8387450000.0000,3,0.001947,1,4.287165,1
2011-09-22,sh.000986,3493.3590,3508.1360,3422.8680,3423.7450,3535.6280,515353600,7067180000.0000,3,0.001741,1,-3.164440,1
2011-09-23,sh.000986,3363.7590,3446.5510,3354.4040,3444.5750,3423.7450,454548500,6197460000.0000,3,0.001535,1,0.608393,1
2011-09-26,sh.000986,3415.0990,3464.2560,3387.6900,3403.5620,3444.5750,378272900,5239150000.0000,3,0.001278,1,-1.190653,1
2011-09-27,sh.000986,3437.0670,3477.3150,3427.4830,3461.7610,3403.5620,454722800,6692200000.0000,3,0.001536,1,1.709943,1
2011-09-28,sh.000986,3489.2020,3499.7300,3428.2440,3444.0130,3461.7610,408420500,6093980000.0000,3,0.001379,1,-0.512688,1
2011-09-29,sh.000986,3418.7230,3474.0810,3407.5890,3438.8800,3444.0130,455869300,6345620000.0000,3,0.001540,1,-0.149043,1
2011-09-30,sh.000986,3451.9930,3465.0760,3416.0790,3432.5730,3438.8800,405450400,6058440000.0000,3,0.001369,1,-0.183399,1
2011-10-10,sh.000986,3447.6500,3459.9700,3406.5500,3412.5100,3432.5730,336045000,5033970000.0000,3,0.001134,1,-0.584488,1
2011-10-11,sh.000986,3494.4700,3509.4100,3228.8800,3276.0400,3412.5100,675166900,10744900000.0000,3,0.002279,1,-3.999109,1
2011-10-12,sh.000986,3248.6000,3363.3400,3178.4700,3360.8100,3276.0400,562950700,8206410000.0000,3,0.001900,1,2.587576,1
2011-10-13,sh.000986,3356.7500,3381.1400,3336.0200,3377.6400,3360.8100,598577600,7767470000.0000,3,0.002020,1,0.500767,1
2011-10-14,sh.000986,3382.5000,3407.6700,3349.3600,3376.6900,3377.6400,428306900,6009880000.0000,3,0.001446,1,-0.028125,1
2011-10-17,sh.000986,3385.1000,3408.4900,3361.7200,3378.7800,3376.6900,389621400,5539300000.0000,3,0.001315,1,0.061898,1
2011-10-18,sh.000986,3353.6600,3354.2700,3270.3100,3273.0300,3378.7800,385657600,5226370000.0000,3,0.001302,1,-3.129828,1
2011-10-19,sh.000986,3290.0700,3305.1300,3254.6500,3262.8600,3273.0300,323870500,4418410000.0000,3,0.001093,1,-0.310719,1
2011-10-20,sh.000986,3245.8800,3253.4900,3134.9600,3161.8400,3262.8600,474018700,6687940000.0000,3,0.001600,1,-3.096057,1
2011-10-21,sh.000986,3154.7300,3167.4000,3112.3600,3113.3800,3161.8400,307002700,3939310000.0000,3,0.001036,1,-1.532658,1
2011-10-24,sh.000986,3120.1200,3201.7500,3083.7000,3191.5800,3113.3800,426489600,5458380000.0000,3,0.001440,1,2.511746,1
2011-10-25,sh.000986,3196.7300,3300.5300,3170.3700,3285.2400,3191.5800,562523100,7776340000.0000,3,0.001899,1,2.934594,1
2011-10-26,sh.000986,3263.5000,3339.5100,3259.6100,3302.3600,3285.2400,592969600,8223890000.0000,3,0.002001,1,0.521122,1
2011-10-27,sh.000986,3304.6700,3332.5300,3288.9500,3301.8500,3302.3600,383133000,5105280000.0000,3,0.001292,1,-0.015444,1
2011-10-28,sh.000986,3354.4100,3430.4100,3354.4100,3411.3300,3301.8500,721687200,10594560000.0000,3,0.002434,1,3.315716,1
2011-10-31,sh.000986,3403.3400,3413.3900,3376.1300,3397.3800,3411.3300,452489900,6331320000.0000,3,0.001526,1,-0.408937,1
2011-11-01,sh.000986,3361.9700,3433.0800,3355.7100,3382.5400,3397.3800,525623300,7446200000.0000,3,0.001773,1,-0.436803,1
2011-11-02,sh.000986,3326.3300,3408.2400,3293.3900,3407.2000,3382.5400,536088300,8023500000.0000,3,0.001807,1,0.729035,1
2011-11-03,sh.000986,3415.5400,3463.7600,3407.0300,3413.8500,3407.2000,744921500,10882590000.0000,3,0.002511,1,0.195179,1
2011-11-04,sh.000986,3446.3100,3465.7100,3419.4700,3442.7500,3413.8500,606571100,8139040000.0000,3,0.002045,1,0.846549,1
2011-11-07,sh.000986,3433.0200,3491.5900,3417.1800,3447.2900,3442.7500,519992300,7408330000.0000,3,0.001753,1,0.131873,1
